id,expansion,name,rarity,color_identity,mana_value,types,is_booster
1000,MH1,"Morophon, the Boundless",mythic,BGRUW,7,Legendary Creature - Shapeshifter,True
1001,MH1,Answered Prayers,common,W,3,Enchantment,True
1002,MH1,Astral Drift,rare,W,3,Enchantment,True
1003,MH1,Battle Screech,uncommon,W,4,Sorcery,True
1004,MH1,Dismantling Blow,uncommon,UW,3,Instant,True
1005,MH1,Enduring Sliver,common,W,2,Creature - Sliver,True
1006,MH1,Ephemerate,common,W,1,Instant,True
1007,MH1,Face of Divinity,uncommon,W,3,Enchantment - Aura,True
1008,MH1,First Sliver's Chosen,uncommon,W,5,Creature - Sliver,True
1009,MH1,Force of Virtue,rare,W,4,Enchantment,True
1010,MH1,Generous Gift,uncommon,W,3,Instant,True
1011,MH1,Gilded Light,common,W,2,Instant,True
1012,MH1,Giver of Runes,rare,W,1,Creature - Kor Cleric,True
1013,MH1,Impostor of the Sixth Pride,common,W,2,Creature - Shapeshifter,True
1014,MH1,Irregular Cohort,common,W,4,Creature - Shapeshifter,True
1015,MH1,King of the Pride,uncommon,W,3,Creature - Cat,True
1016,MH1,Knight of Old Benalia,common,W,5,Creature - Human Knight,True
1017,MH1,Lancer Sliver,common,W,3,Creature - Sliver,True
1018,MH1,Martyr's Soul,common,W,3,Creature - Spirit Soldier,True
1019,MH1,On Thin Ice,rare,W,1,Snow Enchantment - Aura,True
1020,MH1,Ranger-Captain of Eos,mythic,W,3,Creature - Human Soldier,True
1021,MH1,Recruit the Worthy,common,W,1,Instant,True
1022,MH1,Reprobation,common,W,2,Enchantment - Aura,True
1023,MH1,Rhox Veteran,common,W,4,Creature - Rhino Soldier,True
1024,MH1,Segovian Angel,common,W,1,Creature - Angel,True
1025,MH1,Serra the Benevolent,mythic,W,4,Legendary Planeswalker - Serra,True
1026,MH1,Settle Beyond Reality,common,W,5,Sorcery,True
1027,MH1,Shelter,common,W,2,Instant,True
1028,MH1,"Sisay, Weatherlight Captain",rare,BGRUW,3,Legendary Creature - Human Soldier,True
1029,MH1,Soul-Strike Technique,common,W,2,Enchantment - Aura,True
1030,MH1,Splicer's Skill,uncommon,W,3,Sorcery,True
1031,MH1,Stirring Address,common,W,2,Instant,True
1032,MH1,Trustworthy Scout,common,W,2,Creature - Human Scout,True
1033,MH1,Valiant Changeling,uncommon,W,7,Creature - Shapeshifter,True
1034,MH1,Vesperlark,uncommon,W,3,Creature - Elemental,True
1035,MH1,Wall of One Thousand Cuts,common,W,5,Creature - Wall,True
1036,MH1,Winds of Abandon,rare,W,2,Sorcery,True
1037,MH1,Wing Shards,uncommon,W,3,Instant,True
1038,MH1,Zhalfirin Decoy,uncommon,W,2,Creature - Human Soldier,True
1039,MH1,Archmage's Charm,rare,U,3,Instant,True
1040,MH1,Bazaar Trademage,rare,U,3,Creature - Human Wizard,True
1041,MH1,Blizzard Strix,uncommon,U,5,Snow Creature - Bird,True
1042,MH1,Chillerpillar,common,U,4,Snow Creature - Insect,True
1043,MH1,Choking Tethers,common,U,4,Instant,True
1044,MH1,Cunning Evasion,uncommon,U,2,Enchantment,True
1045,MH1,Echo of Eons,mythic,U,6,Sorcery,True
1046,MH1,Everdream,uncommon,U,2,Instant,True
1047,MH1,Exclude,uncommon,U,3,Instant,True
1048,MH1,Eyekite,common,U,2,Creature - Drake,True
1049,MH1,Fact or Fiction,uncommon,U,4,Instant,True
1050,MH1,Faerie Seer,common,U,1,Creature - Faerie Wizard,True
1051,MH1,Force of Negation,rare,U,3,Instant,True
1052,MH1,Future Sight,rare,U,5,Enchantment,True
1053,MH1,Iceberg Cancrix,common,U,2,Snow Creature - Crab,True
1054,MH1,Man-o'-War,common,U,3,Creature - Jellyfish,True
1055,MH1,Marit Lage's Slumber,rare,U,2,Legendary Snow Enchantment,True
